Type;Description;Id
ABWR;Advanced Boiling Water Reactor;1
APR;Advanced Power Reactor;2
APWR;Advanced Pressurised Water Reactor;3
AGR;Advanced Gas-cooled Reactor;4
BWR;Boiling Water Reactor;5
EPR;Evolutionary Power Reactor;6
FBR;Fast Breeder Reactor;7
GCR;Gas-Cooled Reactor;8
HTGR;High-Temperature Gas-cooled Reactor;9
HTR-PM;High Temperature Reactor - Pebble Module;10
HWGCR;Heavy Water Gas Cooled Reactor;11
HWLWR;Heavy Water Light Water Reactor;12
HWOCR;Heavy Water Organic Cooled Reactor;13
LFR;Lead-cooled Fast Reactor;14
LMFBR;Liquid Metal Fast Breeder Reactor;15
LMFR;Liquid Metal Fast Reactor;16
LWGR;Light Water Graphite Reactor;17
MSR;Molten Salt Reactor;18
OCR;Organic Cooled Reactor;19
PHWR;Pressurised Heavy Water Reactor;20
PWR;Pressurised Water Reactor;21
RBMK;High Power Channel-Type Reactor (Reaktor Bolshoy Moshchnosti Kanalniy);22
SGR;Sodium-Graphite Reactor;23
SGHWR;Steam Generating Heavy Water Reactor;24
TWR;Traveling-Wave Reactor;25
